V,density_label,density,nodes,edges
100,sparse,0.06,100,314
100,dense,0.5,100,2496
500,sparse,0.06,500,7418
500,dense,0.5,500,62140
1000,sparse,0.06,1000,30076
1000,dense,0.5,1000,249209
2000,sparse,0.06,2000,120453
2000,dense,0.5,2000,999118
5000,sparse,0.06,5000,748897
5000,dense,0.5,5000,6252402
